라라타, 94, 163
마나하, 78, 195
카라사, 52, 143
타카나, 90, 166
하나카, 43, 168
마마타, 92, 150
타가차, 56, 163
차차파, 80, 195
다카나, 50, 188
타하아, 41, 175
가가하, 96, 195
차자자, 73, 168
가사마, 80, 144
나다타, 47, 196
가라자, 57, 174
카아다, 63, 197
가자마, 60, 171
파라마, 89, 151
나카라, 43, 197
마타나, 41, 171
차바하, 58, 152
아가하, 51, 188
타다사, 90, 194
다카가, 57, 158
마차나, 63, 191
차자파, 95, 166
마차라, 89, 174
하나사, 88, 162
하하자, 49, 164
아다가, 54, 187
카라카, 84, 197
마차마, 50, 198
바아타, 58, 150
바사파, 42, 180
나다카, 86, 199
라카카, 70, 183
자가라, 83, 155
차파나, 57, 143
하바카, 43, 194
마라카, 90, 192
차카라, 97, 169
하마차, 54, 141
나자라, 70, 172
사아가, 97, 164
나마차, 48, 152
자사다, 98, 147
다가차, 46, 171
바타하, 82, 153
사아라, 94, 146
라마마, 54, 159
사차나, 43, 176
아하하, 57, 155
바바카, 70, 184
카아다, 82, 180
자카다, 43, 140
카파다, 83, 173
마나사, 88, 157
하차나, 92, 191
라타타, 57, 171
마마라, 71, 193
나라파, 76, 168
라파마, 54, 165
바바다, 56, 154
자다가, 93, 162
자파라, 59, 147
바하자, 43, 167
마나마, 78, 184
마라다, 95, 149
바바파, 57, 193
하아파, 87, 184
나가다, 87, 198
파라하, 68, 144
바타마, 60, 188
다아가, 71, 143
하나아, 66, 147
다라카, 67, 163
다하가, 69, 140
나나카, 54, 140
카가바, 90, 153
차바자, 82, 195
가차카, 43, 144
라라타, 40, 176
사가마, 74, 156
하나마, 70, 174
다라하, 66, 144
자차바, 78, 163
아파사, 91, 162
마가타, 64, 166
자타타, 43, 169
아나차, 58, 189
자카하, 94, 163
하차사, 77, 171
가마카, 78, 199
아바카, 43, 171
타아아, 56, 140
가마자, 63, 151
타나사, 92, 197
가차차, 44, 171
바차파, 47, 150
사차카, 69, 154
하타마, 42, 172
타바바, 58, 151
파바카, 76, 160
다가자, 55, 191
아아다, 50, 162
자마하, 82, 150
파바다, 65, 163
차파자, 84, 164
사라마, 91, 162
가자자, 87, 195
마파하, 50, 161
바파마, 58, 181
사아타, 55, 152
가하차, 55, 193
나차가, 52, 179
타사다, 48, 196
하마타, 74, 149
카사마, 67, 145
가바나, 48, 143
하마타, 74, 144
바나자, 50, 145
자사카, 66, 164
차차카, 48, 161
가나차, 70, 152
다사사, 75, 148
하차바, 53, 194
마하다, 58, 145
하라마, 52, 147
차카차, 63, 198
사하라, 53, 158
카마타, 85, 162
라사타, 61, 151
자타나, 71, 178
사사카, 56, 163
